"Задача:
Нижче наведено таблицю з даними по різним баєрам і їх воронкам, по яким вони наливали трафік на певній географії. Необхідно вивести проміжні метрики конверсійної воронки та маркетингові показники  і виділити баєрів та їх воронки, які заперформили найкраще і вказати по яким параметрам. Також надати рекомендації, кого б з баєрів і з якими воронками варто було запускати в наступному місяці, а кого краще зупинити. ",,,,,,,,,,,,,,,,,,,,,,,,,
Date,Buyer,Funnel,Costs,Visits,Regs,% Deposit try,RFD*,User AR,% One timers,Bonuses,Dep (Avg),First Deposit RFD,Frequency Deposit,GGR,In,InOut,NGR,,Рішення задачі,,,,,,
01/03/2025,1,1,$18 094,855,319,"45,80%",98,"67,12%","63,30%",$3 808,"$50,4","$36,1","2,9",$6 164,$14 265,$2 609,$2 356,,Аналіз ефективності баєрів і план на наступний місяць,,,,,,
,,2,$12 079,872,325,"37,50%",88,"72,13%","64,80%",$2 896,"$59,4","$40,0","2,3",$9 015,$11 755,$6 348,$6 119,,,,,,,,
,,3,$11 414,759,297,"43,40%",96,"74,42%","72,90%",$3 502,"$64,5","$46,7","2,4",$11 430,$14 580,$8 222,$7 928,,"Проаналізував дані. Головний висновок: ми дарма витрачаємо гроші на слабких баєрів, коли у нас є круті зв'язки, яким не вистачає бюджету.",,,,,,
,,4,$2 709,140,60,"43,30%",12,"46,15%","50,00%",$314,"$24,4","$35,2","7,4",-$1 663,$2 175,-$1 982,-$1 977,,,,,,,,
,,5,$2 139,134,60,"40,00%",15,"62,50%","80,00%",$398,"$58,9","$38,1","4,2",$3 982,$3 710,$3 571,$3 585,,Я рахував ефективність двома способами:,,,,,,
,,6,$1 390,77,26,"53,80%",11,"78,57%","54,50%",$230,"$66,6","$46,1",2,$1 360,$1 465,$1 179,$1 129,,,,,,,,
,,7,$1 155,46,20,"45,00%",5,"55,56%","60,00%",$0,"$33,7","$24,9","2,2",$348,$371,$371,$348,,1. NGR (чистий дохід) для розуміння довгострокової картини.,,,,,,
,,8,$451,20,6,"66,70%",2,"50,00%","50,00%",$0,"$156,2","$103,7","2,5",$781,$781,$781,$781,,"2. Cash Flow (депозити до витрат) для розуміння, хто приносить живі гроші прямо зараз.",,,,,,
,,9,$310,29,9,"33,30%",2,"66,67%","50,00%",$99,"$50,6","$45,2","4,5",$318,$456,$219,$219,,,,,,,,
,,10,$31,1,,,,,,,,,,,,,,,Ось що пропоную робити.,,,,,,
,2,1,$48 063,2260,748,"50,30%",253,"67,29%","57,70%",$5 903,"$52,5","$38,8","3,2",$21 508,$42 711,$16 365,$15 605,,1. Топ-виконавці (Кого масштабувати),,,,,,
,,2,$190,1,1,"0,00%",0,,,$0,,,,$0,$0,$0,$0,,Ці хлопці роблять результат. Їм треба дати більше грошей.,,,,,,
,,3,$126,4,,,,,,,,,,,,,,,"Buyer 3 (Funnel 5): Абсолютний лідер. Вклали 3 тисячі, отримали депозитів на 21 тисячу. ROAS більше 6. Такі результати рідко бувають. Треба заливати сюди максимум, поки працює.",,,,,,
