Date,Buyer,Funnel,Costs,Visits,Regs,% Deposit try,RFD,User AR,% One timers,Bonuses,Dep (Avg),First Deposit RFD,Frequency Deposit,GGR,In,InOut,NGR,Unnamed: 18,Рішення задачі,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,CPA,ROAS,Date_DT
01/03/2025,1.0,1,18094.0,855,319.0,"45,80%",98.0,"67,12%","63,30%",$3 808,"$50,4","$36,1","2,9",$6 164,14265.0,$2 609,$2 356,,Аналіз ефективності баєрів і план на наступний місяць,,,,,,,184.6326530612245,0.7883828893555875,2025-03-01
01/03/2025,1.0,2,12079.0,872,325.0,"37,50%",88.0,"72,13%","64,80%",$2 896,"$59,4","$40,0","2,3",$9 015,11755.0,$6 348,$6 119,,,,,,,,,137.26136363636363,0.9731765874658498,2025-03-01
01/03/2025,1.0,3,11414.0,759,297.0,"43,40%",96.0,"74,42%","72,90%",$3 502,"$64,5","$46,7","2,4",$11 430,14580.0,$8 222,$7 928,,"Проаналізував дані. Головний висновок: ми дарма витрачаємо гроші на слабких баєрів, коли у нас є круті зв'язки, яким не вистачає бюджету.",,,,,,,118.89583333333333,1.2773786577886805,2025-03-01
01/03/2025,1.0,4,2709.0,140,60.0,"43,30%",12.0,"46,15%","50,00%",$314,"$24,4","$35,2","7,4",-$1 663,2175.0,-$1 982,-$1 977,,,,,,,,,225.75,0.8028792912513842,2025-03-01
01/03/2025,1.0,5,2139.0,134,60.0,"40,00%",15.0,"62,50%","80,00%",$398,"$58,9","$38,1","4,2",$3 982,3710.0,$3 571,$3 585,,Я рахував ефективність двома способами:,,,,,,,142.6,1.734455352968677,2025-03-01
01/03/2025,1.0,6,1390.0,77,26.0,"53,80%",11.0,"78,57%","54,50%",$230,"$66,6","$46,1",2,$1 360,1465.0,$1 179,$1 129,,,,,,,,,126.36363636363636,1.0539568345323742,2025-03-01
01/03/2025,1.0,7,1155.0,46,20.0,"45,00%",5.0,"55,56%","60,00%",$0,"$33,7","$24,9","2,2",$348,371.0,$371,$348,,1. NGR (чистий дохід) для розуміння довгострокової картини.,,,,,,,231.0,0.3212121212121212,2025-03-01
01/03/2025,1.0,8,451.0,20,6.0,"66,70%",2.0,"50,00%","50,00%",$0,"$156,2","$103,7","2,5",$781,781.0,$781,$781,,"2. Cash Flow (депозити до витрат) для розуміння, хто приносить живі гроші прямо зараз.",,,,,,,225.5,1.7317073170731707,2025-03-01
01/03/2025,1.0,9,310.0,29,9.0,"33,30%",2.0,"66,67%","50,00%",$99,"$50,6","$45,2","4,5",$318,456.0,$219,$219,,,,,,,,,155.0,1.4709677419354839,2025-03-01
01/03/2025,1.0,10,31.0,1,0.0,,0.0,,,,,,,,0.0,,,,Ось що пропоную робити.,,,,,,,inf,0.0,2025-03-01
01/03/2025,2.0,1,48063.0,2260,748.0,"50,30%",253.0,"67,29%","57,70%",$5 903,"$52,5","$38,8","3,2",$21 508,42711.0,$16 365,$15 605,,1. Топ-виконавці (Кого масштабувати),,,,,,,189.97233201581028,0.8886461519255977,2025-03-01
01/03/2025,2.0,2,190.0,1,1.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,Ці хлопці роблять результат. Їм треба дати більше грошей.,,,,,,,inf,0.0,2025-03-01
01/03/2025,2.0,3,126.0,4,0.0,,0.0,,,,,,,,0.0,,,,"Buyer 3 (Funnel 5): Абсолютний лідер. Вклали 3 тисячі, отримали депозитів на 21 тисячу. ROAS більше 6. Такі результати рідко бувають. Треба заливати сюди максимум, поки працює.",,,,,,,inf,0.0,2025-03-01
01/03/2025,3.0,1,15757.0,1083,475.0,"47,20%",153.0,"68,30%","61,40%",$4 974,"$37,6","$31,4","2,9",$10 133,16930.0,$8 418,$5 159,,Buyer 12 (Funnel 2): Справжня знахідка. Найдешевший лід у системі ($73). Кожен вкладений долар приносить 4 долари депозитів. Сміливо подвоюємо бюджет.,,,,,,,102.98692810457516,1.0744431046519007,2025-03-01
01/03/2025,3.0,2,6736.0,358,149.0,"49,70%",47.0,"63,51%","48,90%",$2 203,"$131,5","$59,7","2,8",$18 407,17225.0,$16 367,$16 204,,"Buyer 3 (Funnel 2): Стабільна і надійна зв'язка. ROAS 2.5. Просто масштабуємо, тут все добре.",,,,,,,143.31914893617022,2.5571555819477436,2025-03-01
01/03/2025,3.0,3,6679.0,404,147.0,"55,80%",62.0,"75,61%","59,70%",$3 278,"$74,5","$45,3","3,3",$9 078,15133.0,$5 821,$5 799,,,,,,,,,107.7258064516129,2.2657583470579428,2025-03-01
01/03/2025,3.0,4,6166.0,330,141.0,"58,90%",59.0,"71,08%","74,60%",$1 992,"$58,6","$34,3","4,4",$4 092,15052.0,$2 207,$2 100,,2. Проблемні зони (Кого зупинити або виправити),,,,,,,104.50847457627118,2.4411287706779112,2025-03-01
01/03/2025,3.0,5,3383.0,205,87.0,"48,30%",29.0,"69,05%","65,50%",-$518,"$84,1","$25,5","8,8",$6 099,21433.0,$6 614,$6 617,,Тут ми втрачаємо гроші. Потрібні рішучі дії.,,,,,,,116.65517241379311,6.335501034584688,2025-03-01
01/03/2025,3.0,6,1184.0,31,15.0,"40,00%",3.0,"50,00%","66,70%",$123,"$53,9","$57,9","1,3",-$403,216.0,$59,-$526,,"Buyer 6 (Funnel 1): Головний пожирач бюджету. Витратив 18 тисяч, а повернув менше 10 тисяч депозитами. Це прямі збитки. Зупинити негайно. Ці гроші краще віддати Buyer 3.",,,,,,,394.6666666666667,0.18243243243243243,2025-03-01
01/03/2025,3.0,7,515.0,17,7.0,"42,90%",2.0,"66,67%","50,00%",$139,"$32,6","$27,9","1,5",$236,98.0,$98,$97,,"Buyer 9 (Funnel 1): Найдорожчий лід ($300). Це в 4 рази дорожче, ніж у лідера. Ефективність вкрай низька. Зупинити.",,,,,,,257.5,0.19029126213592232,2025-03-01
01/03/2025,3.0,8,281.0,29,6.0,"66,70%",4.0,"100,00%","75,00%",$95,"$25,4","$24,2","1,5",$248,152.0,$152,$152,,"Buyer 2 (Funnel 1): Складна ситуація. Він приносить збиток по NGR, але дає величезний обсяг депозитів (253 шт). Якщо його вимкнути, ми втратимо 20% обороту компанії. Рішення: Оптимізувати. Ставимо йому задачу знизити ціну ліда на 15% (до $160). Не закриваємо, а лікуємо.",,,,,,,70.25,0.5409252669039146,2025-03-01
01/03/2025,3.0,9,106.0,12,1.0,"0,00%",0.0,,,$0,,,,$0,0.0,$0,$0,,,,,,,,,inf,0.0,2025-03-01
01/03/2025,3.0,10,97.0,4,0.0,,0.0,,,,,,,,0.0,,,,3. Підсумкова Таблиця Дій,,,,,,,inf,0.0,2025-03-01
01/03/2025,3.0,11,70.0,13,5.0,"20,00%",1.0,"100,00%","100,00%",$23,"$21,0","$21,0",1,$44,21.0,$21,$21,,Баєр,Воронка (Funnel),Статус,Бюджет (Поточний),Бюджет (Новий),Дія,Чому?,70.0,0.3,2025-03-01
01/03/2025,3.0,12,11.0,2,0.0,,0.0,,,,,,,,0.0,,,,Buyer 3,Funnel 5,Scale,"$3,383","$10,000+",Збільшити x3,ROAS 6.33. Найприбутковіша точка росту.,inf,0.0,2025-03-01
01/03/2025,4.0,1,12861.0,795,306.0,"41,20%",89.0,"70,63%","66,30%",$2 313,"$39,4","$38,5","3,5",$8 858,12180.0,$6 782,$6 545,,Buyer 12,Funnel 2,Scale,"$2,277","$5,000+",Подвоїти,"CPA $73. Найдешевший лід, супер ROI.",144.5056179775281,0.947049218567763,2025-03-01
01/03/2025,4.0,2,8681.0,501,204.0,"39,20%",55.0,"68,75%","69,10%",$2 408,"$48,6","$39,0","2,2",$6 733,5828.0,$4 433,$4 325,,Buyer 3,Funnel 2,Scale,"$6,736","$10,000",Додати +50%,Стабільний прибуток (ROAS 2.5).,157.83636363636364,0.671351226817187,2025-03-01
